year,division,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,east north central,502000,10040000,133728.171,62578.602,0.252,0.104,0.042,0.017,0.543,0.08,0.74,510628.398,253541.212,0,58953.382,81937.048,0.646,0.354,NA,NA,0.184,0.93,0.068,0,0.155,3.332,47.25,6339.528,0.033,0.016,0.006,0.003,0.022,0.004,0.028,0.028,0.008
1960,east south central,160392,3207840,79587.5,37052.901,0.195,0.077,0.031,0.013,0.521,0.068,0.708,211794.926,175594.434,-2137.792,39064.372,47135.622,0.608,0.392,NA,NA,0.137,0.803,0.196,0,0.17,3.604,47.778,699.037,0.007,0.005,0.003,0.001,0.004,0.001,0.005,0.006,0.018
1960,middle atlantic,474707,9494140,126341.543,46623.731,0.29,0.121,0.049,0.02,0.6,0.049,0.799,607463.213,240112.413,-2501.525,62835.646,69532.944,0.511,0.489,NA,NA,0.193,0.922,0.075,0,0.18,3.217,47.992,8855.285,0.046,0.023,0.009,0.004,0.029,0.004,0.037,0.041,0.004
1960,mountain,94146,1882920,113387.939,52735.922,0.185,0.074,0.03,0.012,0.511,0.076,0.696,274561.426,256169.611,0,53217.42,69392.899,0.636,0.364,NA,NA,0.256,0.961,0.017,0.002,0.147,3.409,46.026,2428.872,0.014,0.006,0.002,0.001,0.01,0.002,0.013,0.012,0.021
1960,new england,138491,2769820,126240.807,49681.417,0.26,0.106,0.043,0.017,0.577,0.052,0.767,398611.986,248807.577,0,58865.96,74525.673,0.541,0.459,NA,NA,0.206,0.977,0.021,0,0.181,3.266,48.189,4636.44,0.023,0.011,0.004,0.002,0.016,0.002,0.021,0.02,0.011
1960,pacific,317980,6359600,135809.822,60494.99,0.216,0.085,0.034,0.014,0.546,0.064,0.731,357027.603,284945.346,-1745.29,61491.256,82797.904,0.585,0.415,NA,NA,0.27,0.927,0.04,0.001,0.177,3.11,46.645,1611.001,0.01,0.008,0.003,0.001,0.005,0.001,0.007,0.01,0.022
1960,south atlantic,351696,7033920,97082.778,40641.044,0.219,0.088,0.035,0.014,0.549,0.063,0.732,270670.092,208425.381,-2069.718,47993.004,58427.961,0.598,0.402,NA,NA,0.181,0.808,0.19,0,0.176,3.494,46.663,468.132,0.004,0.004,0.002,0.001,0.002,0,0.003,0.004,0.018
1960,west north central,222083,4441660,113920.019,59914.965,0.17,0.066,0.026,0.011,0.474,0.089,0.663,230468.165,251959.714,0,47949.991,63302.89,0.664,0.336,NA,NA,0.186,0.964,0.032,0,0.162,3.247,49.031,1985.63,0.013,0.009,0.004,0.002,0.009,0.002,0.011,0.011,0.022
1960,west south central,237613,4752260,96341.959,39491.479,0.216,0.087,0.035,0.014,0.551,0.068,0.729,262617.761,212295.884,-1635.047,45803.632,53871.85,0.626,0.374,NA,NA,0.194,0.85,0.146,0,0.169,3.396,47.188,478.863,0.004,0.003,0.001,0.001,0.002,0,0.003,0.003,0.018
1970,east north central,198980,9949000,201547.093,91583.141,0.215,0.087,0.035,0.014,0.528,0.08,0.734,442582.708,409681.054,3994.901,74083.043,91022.566,0.621,0.379,NA,NA,0.253,0.9,0.096,0,0.202,3.193,47.116,567.321,0.001,0,0,0,0.001,0,0.002,0.001,0.001
1970,east south central,42974,2148700,117059.464,48352.462,0.222,0.09,0.036,0.015,0.555,0.061,0.749,251546.624,254690.651,-1952.303,50208.66,59416.065,0.599,0.401,NA,NA,0.208,0.812,0.187,0,0.216,3.28,47.758,756.418,0.004,0.001,0.001,0,0.003,0,0.004,0.003,0.007
1970,middle atlantic,205762,10288100,205206.611,75252.753,0.236,0.096,0.039,0.016,0.575,0.056,0.785,652450.483,427628.978,0,73669.968,85742.461,0.503,0.497,NA,NA,0.248,0.89,0.103,0.001,0.231,3.067,48.52,3926.337,0.006,0.002,0.001,0,0.008,0.001,0.01,0.004,0.005
1970,mountain,35452,1772600,173081.552,76410.989,0.213,0.086,0.035,0.014,0.532,0.069,0.731,302880.125,366940.307,-3080.281,64658.205,78845.017,0.602,0.398,NA,NA,0.357,0.951,0.024,0.004,0.192,3.241,45.924,1766.737,0.004,0.002,0.001,0,0.005,0.001,0.006,0.003,0.006
1970,new england,61626,3081300,228157.232,89853.306,0.229,0.093,0.038,0.015,0.561,0.06,0.769,590468.402,474864.738,0,73839.452,98432.042,0.544,0.456,NA,NA,0.284,0.964,0.032,0,0.222,3.142,48.217,3763.514,0.004,0.002,0.001,0,0.007,0.001,0.008,0.003,0.005
1970,pacific,158140,7907000,230228.01,89763.308,0.226,0.091,0.037,0.015,0.557,0.055,0.758,461831.958,495450.086,-2210.061,72789.234,95677.651,0.534,0.466,NA,NA,0.363,0.902,0.056,0.002,0.218,3.004,46.188,1041.182,0.001,0,0,0,0.002,0,0.002,0.001,0.002
1970,south atlantic,150558,7527900,175124.42,65017.574,0.234,0.095,0.038,0.016,0.574,0.057,0.768,370577.395,372902.363,-1308.599,63883.495,74149.001,0.577,0.423,NA,NA,0.263,0.801,0.195,0,0.219,3.183,46.995,792.914,0.001,0,0,0,0.002,0,0.002,0.001,0.002
1970,west north central,71665,3583250,172251.989,79810.929,0.209,0.085,0.034,0.014,0.521,0.08,0.721,331694.202,356289.476,0,63190.894,73617.445,0.622,0.378,NA,NA,0.278,0.948,0.048,0,0.216,3.052,48.659,1127.998,0.003,0.001,0,0,0.003,0.001,0.004,0.002,0.006
