year,metarea,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,0,1021743,20434860,99023.396,47500.377,0.179,0.072,0.029,0.012,0.493,0.084,0.681,257203.342,222222.724,0,43719.025,57195.032,0.66,0.34,NA,NA,0.15,0.914,0.08,0,0.155,3.431,48.627,1107.78,0.008,0.004,0.002,0.001,0.006,0.001,0.007,0.007,0.018
1960,4,1400,28000,94070.989,42357.939,0.159,0.047,0.024,0.014,0.508,0.413,0.679,155945.383,236599.229,0,49298.606,55589.488,0.628,0.372,NA,NA,0.289,0.956,0.043,0.001,0.141,3.258,42.859,4714.897,0.038,0.032,0.008,0.004,0.024,0.461,0.031,0.037,0.031
1960,8,7246,144920,135570.277,79797.214,0.202,0.079,0.032,0.013,0.482,0.117,0.652,277935.519,249359.174,4040.373,62263.887,98332.437,0.723,0.277,NA,NA,0.212,0.934,0.065,0,0.139,3.391,46.604,1824.681,0.01,0.008,0.003,0.001,0.007,0.002,0.008,0.009,0.024
1960,16,8813,176260,106510.648,48996.174,0.233,0.102,0.041,0.017,0.531,0.062,0.739,408575.658,219587.176,-2292.305,58247.84,65446.016,0.553,0.447,NA,NA,0.218,0.976,0.023,0,0.19,3.182,48.252,3730.561,0.027,0.02,0.008,0.003,0.016,0.002,0.021,0.029,0.005
1960,20,3446,68920,117239.771,57340.301,0.208,0.08,0.032,0.013,0.518,0.087,0.691,246081.518,240856.927,0,61012.34,81859.966,0.673,0.327,NA,NA,0.327,0.971,0.016,0.003,0.148,3.59,42.31,1772.083,0.012,0.015,0.006,0.003,0.007,0.001,0.009,0.013,0.025
1960,24,5768,115360,107924.849,61027.206,0.21,0.081,0.033,0.013,0.499,0.106,0.669,238161.604,204054.655,0,56561.348,72753.734,0.688,0.312,NA,NA,0.15,0.993,0.006,0,0.146,3.221,48.06,1945.834,0.013,0.013,0.005,0.002,0.009,0.002,0.011,0.012,0.023
1960,28,1970,39400,73273.647,41610.475,0.152,0.044,0.02,0.013,0.462,0.574,0.619,120869.745,154812.144,0,45824.508,45337.581,0.695,0.305,NA,NA,0.109,0.99,0.01,0,0.16,3.294,49.79,2399.43,0.026,0.027,0.009,0.001,0.017,0.422,0.021,0.027,0.03
1960,32,2110,42200,108189.477,44560.045,0.19,0.066,0.027,0.013,0.537,0.239,0.712,210641.528,250823.458,-2404.011,56189.943,62962.561,0.619,0.381,NA,NA,0.272,0.955,0.044,0,0.144,3.249,43.009,4519.913,0.032,0.023,0.009,0.005,0.019,0.387,0.025,0.036,0.031
1960,44,2247,44940,153509.521,66797.086,0.214,0.091,0.037,0.015,0.542,0.068,0.742,609621.074,329782.79,-2666.022,68221.539,93318.487,0.623,0.377,NA,NA,0.406,0.935,0.056,0,0.15,3.269,42.839,2862.577,0.012,0.005,0.002,0.001,0.009,0.001,0.011,0.008,0.016
1960,52,12867,257340,120210.109,48664.084,0.26,0.101,0.041,0.017,0.591,0.049,0.775,394346.584,239543.166,-2823.998,61764.503,73779.72,0.563,0.437,NA,NA,0.265,0.788,0.212,0,0.191,3.419,44.435,3360.237,0.018,0.012,0.005,0.002,0.012,0.001,0.015,0.015,0.017
1960,56,2422,48440,108352.462,50447.827,0.229,0.095,0.039,0.016,0.533,0.063,0.738,370476.006,233524.223,-2054.71,47774.719,65467.719,0.586,0.414,NA,NA,0.124,0.846,0.153,0,0.233,3,50.989,3881.169,0.025,0.014,0.006,0.002,0.017,0.002,0.022,0.023,0.009
1960,60,2727,54540,70343.994,32924.758,0.227,0.101,0.042,0.017,0.558,0.063,0.741,246688.778,146128.217,-1793.58,44739.09,46399.154,0.571,0.429,NA,NA,0.186,0.721,0.277,0,0.185,3.624,44.313,1924.613,0.021,0.019,0.01,0.004,0.012,0.002,0.016,0.022,0.01
1960,64,1621,32420,113669.974,28687.254,0.301,0.124,0.05,0.02,0.666,0.019,0.833,343303.502,245119.781,-3746.546,52156.775,51574.437,0.474,0.526,NA,NA,0.381,0.837,0.162,0,0.248,3.098,46.015,5769.886,0.03,0.017,0.007,0.003,0.017,0.001,0.024,0.031,0.011
1960,68,4148,82960,104590.727,45074.686,0.188,0.069,0.028,0.011,0.541,0.064,0.718,236422.463,235698.288,-2348.618,55153.376,63445.269,0.577,0.423,NA,NA,0.215,0.934,0.054,0.001,0.147,3.373,45.323,3745.22,0.027,0.019,0.008,0.003,0.016,0.002,0.021,0.026,0.027
1960,72,22930,458600,110029.883,52478.126,0.243,0.1,0.041,0.016,0.548,0.075,0.732,325661.759,217963.402,-1390.142,61294.024,66270.121,0.615,0.385,NA,NA,0.171,0.806,0.192,0,0.171,3.473,45.864,3611.842,0.024,0.014,0.006,0.002,0.015,0.002,0.019,0.024,0.015
1960,76,1784,35680,82783.346,51333.992,0.141,0.057,0.026,0.014,0.44,0.265,0.619,150150.014,173410.813,0,50118.919,76177.559,0.68,0.32,NA,NA,0.189,0.72,0.28,0,0.151,3.773,42.762,1337.116,0.014,0.009,0.002,0.008,0.009,0.348,0.011,0.012,0.019
1960,84,3477,69540,105956.311,49700.571,0.255,0.103,0.042,0.017,0.556,0.079,0.733,291612.11,192819.585,-1912.671,56595.792,66121.401,0.655,0.345,NA,NA,0.211,0.787,0.212,0.001,0.159,3.362,45.01,4553.123,0.029,0.013,0.005,0.002,0.019,0.003,0.024,0.024,0.015
1960,88,1112,22240,134650.054,58322.928,0.241,0.104,0.042,0.017,0.548,0.061,0.752,451762.858,275942.463,-2219.842,60787.021,81714.985,0.598,0.402,NA,NA,0.268,0.992,0.004,0,0.158,3.342,45.774,5578.954,0.029,0.019,0.008,0.003,0.019,0.003,0.024,0.028,0.005
1960,96,2670,53400,120982.409,62072.281,0.241,0.103,0.042,0.017,0.53,0.077,0.728,398257.234,219425.047,2969.897,59745.881,79611.152,0.594,0.406,NA,NA,0.19,0.995,0.005,0,0.169,3.246,47.258,5140.875,0.03,0.019,0.008,0.003,0.02,0.003,0.025,0.029,0.008
1960,100,8845,176900,91933.709,40366.026,0.235,0.092,0.037,0.015,0.571,0.063,0.741,239686.787,181258.864,-2136.719,49670.605,58713.219,0.607,0.393,NA,NA,0.169,0.691,0.309,0,0.186,3.482,46.845,922.445,0.008,0.006,0.002,0.001,0.004,0.001,0.006,0.009,0.022
1960,112,27261,545220,128305.411,33677.835,0.271,0.108,0.044,0.018,0.62,0.029,0.802,396983.224,261307.561,-3126.188,64761.487,66331.917,0.408,0.592,NA,NA,0.262,0.959,0.036,0,0.221,3.161,48.847,4061.532,0.017,0.01,0.004,0.002,0.012,0.001,0.016,0.014,0.014
1960,116,2926,58520,93686.887,31504.724,0.182,0.069,0.029,0.012,0.511,0.036,0.728,232459.527,223966.933,-3275.289,56305.04,65806.971,0.428,0.572,NA,NA,0.14,0.933,0.066,0,0.173,3.251,46.762,1371.408,0.012,0.012,0.003,0.001,0.007,0.001,0.009,0.012,0.014
